召還	しょうかん	recall (esp. of an envoy or an ambassador), calling someone back, summons (home)	裁判所が特定の個人を一定の場所へ呼び出すこと。よびだし。
表側	おもてがわ	the front	表のほう。表に面している部分。
既読	きどく	already read	すでに読んでいること。 もう読んであること。
伐採	ばっさい	felling timber, cutting down trees, logging, lumbering	樹木や竹を切り倒すこと。材木などを切り出すこと。
面構え	つらがまえ	(facial) expression (esp. fierce, fearless, sinister, etc.), look	普通と違って△強（悪）そうな顔つき。
躙る	にじる	to shuffle one's feet, to trample underfoot	足などで押さえながら、強くすり動かす。
萎む	しぼむ	to wither (of flowers, dreams, etc.), to wilt, to droop, to shrivel, to fade (away), to sag, to defl	ふくらんでいたものが、張りを失って縮む。
奮発	ふんぱつ	strenuous exertion, spurt, splurge	元気を出して、何かをすること。思い切って多めの金を△出す（出して買う）こと。
舐る	ねぶる	to lick	なめる。しゃぶる。
一呼吸	ひとこきゅう	short pause, short interval	一回、呼吸をすること。また、一回の呼吸。ひと息。ちょっとの間。
悪寒	おかん	chill, shakes, ague	熱が出たための寒け。
後遺症	こういしょう	prognostic symptoms, after-effect	病気やけがが治ったあとに残る機能障害などの症状。事件や出来事のあとに残る悪い影響。
殺戮	さつりく	slaughter, massacre	多人数をむごたらしく殺すこと。
悠然	ゆうぜん	calm, composed, leisurely	普通の者ならせせこましく動いたり ためらったり するところを、△なんの こだわりも無く（何事も意に介さないという風に）ふるまう様子だ。
媚	こび	flattery, cajolery, flirtation	言動を努めて和らげたり 低姿勢な態度をとったり して、相手に気に入られようとする様子。
最奥	さいおう	deep inside, innermost place	最もおくにあること。 また、そのさま。
秘所	ひしょ	secret or hidden place, female genitalia, the underworld, the other world	秘密の場所。 また、秘密にする箇所。
堕天使	だてんし	fallen angel, Lucifer, demon, Satan	キリスト教で、悪魔。神に反逆して天上から追放された天使。特に、その首領であるルシフェル。
隠匿	いんとく	concealment	隠しておいてはいけない物や人を、隠しておくこと。
拮抗	きっこう	rivalry (between two equally strong sides), struggle for supremacy, competing (with), vying (with),	互いに同じくらいの力で張り合っていること。
妬み	ねたみ, そねみ	jealousy, envy	自分と他人を比べ、他人の優れた部分を羨み、憎く思うこと。
世継ぎ	よつぎ	heir, successor	家の跡目を継ぐこと。また、その人。
疎む	うとむ	to shun, to avoid, to ostracize, to neglect, to distance oneself from, to give the hard shoulder	遠ざける。うとんじる。
司	つかさ, し	office, official, chief, head, (Yaeyama Islands in Okinawa) person (usually a woman) whose duty it i	役目を担当する。つかさどる。役目を担当する人。また、資格を持ったり委嘱を受けたりして、その職務を行う人。
胆力	たんりょく	courage, nerve, grit	たいていの出来事に驚いたり 恐れたり しないで、物事をやってのける精神力。
事欠く	ことかく	to lack	必要なものが無くて、何かをするのに支障がある。よりによって不適切なことをする。
予断	よだん	prediction, prejudgment, presupposition, foregone conclusion	どういう結果になるか、前もって判断すること。
一辺倒	いっぺんとう	complete devotion (to), total commitment (to), unvarying support (for), unwavering fixation (on), ri	何か一つのものにだけ△かたよる（心を寄せる）こと。
足許	あしもと	at one's feet, underfoot, one's step (as in 'watch your step'), gait, pace, step, most recent, curre	立っている（または、歩いている）足の下。
憐れみ	あわれみ	pity, compassion	気の毒だ、かわいそうだと思う心。同情。慈悲心。
戯	あじゃら, あじゃれ, あざれ	pleasantry, joke, tomfoolery	たわむれあそぶ。ふざける。
逸する	いっする	to lose (a chance), to miss (a chance), to overlook, to omit, to forget, to deviate	とりにがす。のがす。はずれる。それる。
男色	だんしょく, なんしょく	male homosexuality, sodomy, male prostitute	男性の同性愛。「なんしょく」とも。
厭わしい	いとわしい	detestable, disagreeable	不快で、接していることに耐えられない気持だ。
潮吹き	しおふき	spouting (e.g. of a whale, blowhole, etc.), blowing water, Mactra veneriformis (species of trough sh	クジラが鼻孔から呼気と海水を吹き上げること。
野卑	やひ	vulgar, mean, base, coarse, crude	下品で、いやしいこと。
鍾乳洞	しょうにゅうどう	limestone cave, limestone cavern	水の浸食によって石灰岩地帯にできた地下の空洞
延髄	えんずい	medulla oblongata	中枢神経の一部。
抜剣	ばっけん	drawing one's sword	剣を抜くこと。また、その剣。
絹糸	けんし, きぬいと	silk thread	カイコの繭からとった糸。
錫杖	しゃくじょう, さくじょう	bishop's staff, khakkhara	僧・修験者(シュゲンジャ)の持ち歩く つえ。頭部に鐶(カン)があり、それに数個の小さな鉄の輪をつける。
時期尚早	じきしょうそう	premature	事を実行するのは、まだ時期が早すぎるという意味。
昴	すばる, すまる, ぼう	Chinese 'Hairy Head' constellation (one of the 28 mansions), Pleiades, Seven Sisters	おうし座という星座にある星団の名。ふつう、六つの星が見える。
梅酒	うめしゅ	ume liqueur, Japanese plum brandy, unripe ume infused in liquor (esp. shōchū) with added sugar	青梅を氷砂糖を加えた焼酎(しょうちゅう)などに漬けてつくる果実酒。
飛び切り	とびきり	best, extra-fine, superfine, unequalled, exceptionally, extraordinarily, by far, jumping and slashin	ほかのものより、はるかにすぐれていること。
門戸	もんこ	door	門と戸。家の出入り口。
天誅	てんちゅう	heaven's punishment, divine punishment, well-deserved punishment, just punishment	天が下す罰。天罰。
襟	えり	collar, lapel, neckband, neck	衣類・布団の、首に直接当たる部分。
膝頭	ひざがしら	kneecap	膝の関節の部分。
財団	ざいだん	foundation	一定の目的のために提供された財産の集団で、法律上一個の物権と見なされるもの。
紺	こん	navy blue, deep blue	濃い藍(アイ)色。
逆恨み	さかうらみ	being resented (by someone one holds resentment towards), thinking ill of a person based on a misund	自分が恨みに思う相手から逆に恨まれること。人の好意を曲解して、反対に恨むこと。
木陰	こかげ	shade of tree, bower	枝葉の茂った木の下の 日の当たらない所。
抜擢	ばってき, ばったく	selection (esp. from many people for an important job position), exceptional promotion	多くの人の中から特に選び出してある役につけること。
卑猥	ひわい	indecent, obscene	下品で、みだらなこと。
賜物	たまもの	gift, boon, (good) result, fruit (e.g. of one's efforts)	天や神仏からいただいた物。苦しい試練のあとに得られる、よい結果。〔話題などが〕性を興味本位に扱うようであり、見たり 聞いたり するに堪えない様子だ。
執念	しゅうねん	tenacity, persistence, obsession, implacability	そうしようと思い込んで、その実現を片時も忘れない心。